p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.43263053312892,0.356,0.192,0,cluster_5,CD2
0,1.42245006788894,0.478,0.264,0,cluster_5,ID2
0,1.42104585299942,0.826,0.586,0,cluster_5,CXCR4
0,1.41056646318923,0.264,0.055,0,cluster_5,GZMB
0,1.38380246903912,0.321,0.191,0,cluster_5,IDS
0,1.38329813187098,0.443,0.26,0,cluster_5,PLAAT4
0,1.37284869756021,0.452,0.29,0,cluster_5,SELENOK
0,1.34672629781424,0.59,0.347,0,cluster_5,TRAC
0,1.33264765451378,0.563,0.386,0,cluster_5,SRSF7
0,1.29249384509101,0.295,0.156,0,cluster_5,FKBP11
3.49165085097634e-293,1.26658467357794,0.315,0.193,7.15963006992699e-293,cluster_5,WIPF1
1.20961625010422e-293,1.29137949760313,0.291,0.175,2.4803181208387095e-291,cluster_5,EML4
0,1.22489249776974,0.42,0.279,0,cluster_5,CDC42SE2
8.456657407000508e-290,1.28483787605063,0.318,0.203,1.7340376013054494e-285,cluster_5,FAM177A1
0,1.21330245716897,0.476,0.292,0,cluster_5,LITAF
0,1.18930328557313,0.411,0.29,0,cluster_5,DNAJB6
0,1.12302739763362,0.756,0.577,0,cluster_5,CALM1
9.88131291682493e-293,1.10110719867424,0.358,0.229,2.02616321359495e-293,cluster_5,CD3G
0,1.08009334758567,0.59,0.447,0,cluster_5,GUK1
0,1.05376941953219,0.597,0.367,0,cluster_5,CD3E
0,1.0232560756241,0.497,0.372,0,cluster_5,MFSD4B
1.19169664755318e-293,1.02593534507468,0.424,0.304,2.44357397580779e-293,cluster_5,IRF1
0,0.98450883800524,0.436,0.293,0,cluster_5,ANXA1
0,0.952089946593393,0.691,0.54,0,cluster_5,ZFP36L2
0,0.946341694958765,0.578,0.391,0,cluster_5,PTPRCAP
0,0.927309206445077,0.429,0.262,0,cluster_5,TRBC1
1.8827784236806699e-249,1.10401245245204,0.36,0.258,3.86063715775722e-245,cluster_5,CCDC12
0,0.883685407911902,0.721,0.587,0,cluster_5,PPDPF
0,0.876694530222042,0.868,0.732,0,cluster_5,RPL36AL
1.22614877213438e-293,0.871730212771967,0.507,0.399,2.51421805726155e-293,cluster_5,LEPROTL1
0,0.819976217284449,0.568,0.338,0,cluster_5,HMGB2
2.3974290656328e-280,0.856786255061056,0.426,0.306,4.9159282990800694e-276,cluster_5,ITGB2
0,0.784549657644045,0.826,0.707,0,cluster_5,ND5
1.0057615158455898e-218,1.09211149595787,0.319,0.219,2.0623139882413894e-214,cluster_5,TNFAIP3
3.6314895491330094e-291,0.798516198399774,0.493,0.359,7.446369320497237e-287,cluster_5,TRBC2
0,0.74098916186159,0.784,0.65,0,cluster_5,SH3BGRL3
0,0.669034762741951,0.809,0.584,0,cluster_5,IFITM1
